address,name,category,owning_class,python_class,method,binding_kind,ancestors,join_key
0x005c24c0,swig_TGBufferStream_Read,swig,TGBufferStream,,Read,direct,TGStream,c_symbol
0x005c2580,swig_TGBufferStream_Write,swig,TGBufferStream,,Write,direct,TGStream,c_symbol
0x005c2640,swig_TGBufferStream_ReadCLine,swig,TGBufferStream,,ReadCLine,direct,TGStream,c_symbol
0x005c2710,swig_TGBufferStream_WriteCLine,swig,TGBufferStream,,WriteCLine,direct,TGStream,c_symbol
0x005c27d0,swig_TGBufferStream_ReadCString,swig,TGBufferStream,,ReadCString,direct,TGStream,c_symbol
0x005c2890,swig_TGBufferStream_WriteCString,swig,TGBufferStream,,WriteCString,direct,TGStream,c_symbol
0x005c2950,swig_TGBufferStream_ReadCWLine,swig,TGBufferStream,,ReadCWLine,direct,TGStream,c_symbol
0x005c2a10,swig_TGBufferStream_WriteCWLine,swig,TGBufferStream,,WriteCWLine,direct,TGStream,c_symbol
0x005c2ab0,swig_TGBufferStream_ReadWChar,swig,TGBufferStream,,ReadWChar,direct,TGStream,c_symbol
0x005c2b20,swig_TGBufferStream_WriteWChar,swig,TGBufferStream,,WriteWChar,direct,TGStream,c_symbol
0x005c2ba0,swig_TGBufferStream_ReadChar,swig,TGBufferStream,,ReadChar,direct,TGStream,c_symbol
0x005c2c10,swig_TGBufferStream_ReadBool,swig,TGBufferStream,,ReadBool,direct,TGStream,c_symbol
0x005c2c90,swig_TGBufferStream_ReadShort,swig,TGBufferStream,,ReadShort,direct,TGStream,c_symbol
0x005c2d00,swig_TGBufferStream_ReadInt,swig,TGBufferStream,,ReadInt,direct,TGStream,c_symbol
0x005c2d60,swig_TGBufferStream_ReadLong,swig,TGBufferStream,,ReadLong,direct,TGStream,c_symbol
0x005c2dc0,swig_TGBufferStream_ReadFloat,swig,TGBufferStream,,ReadFloat,direct,TGStream,c_symbol
0x005c2e30,swig_TGBufferStream_ReadDouble,swig,TGBufferStream,,ReadDouble,direct,TGStream,c_symbol
0x005c2eb0,swig_TGBufferStream_WriteBool,swig,TGBufferStream,,WriteBool,direct,TGStream,c_symbol
0x005c2f30,swig_TGBufferStream_WriteChar,swig,TGBufferStream,,WriteChar,direct,TGStream,c_symbol
0x005c2fb0,swig_TGBufferStream_WriteShort,swig,TGBufferStream,,WriteShort,direct,TGStream,c_symbol
0x005c3030,swig_TGBufferStream_WriteInt,swig,TGBufferStream,,WriteInt,direct,TGStream,c_symbol
0x005c30b0,swig_TGBufferStream_WriteLong,swig,TGBufferStream,,WriteLong,direct,TGStream,c_symbol
0x005c3130,swig_TGBufferStream_WriteFloat,swig,TGBufferStream,,WriteFloat,direct,TGStream,c_symbol
0x005c31b0,swig_TGBufferStream_WriteDouble,swig,TGBufferStream,,WriteDouble,direct,TGStream,c_symbol
0x005c3230,swig_TGBufferStream_ReadID,swig,TGBufferStream,,ReadID,direct,TGStream,c_symbol
0x005c32a0,swig_TGBufferStream_WriteID,swig,TGBufferStream,,WriteID,direct,TGStream,c_symbol
0x005c3320,swig_TGBufferStream_GetBuffer,swig,TGBufferStream,,GetBuffer,direct,TGStream,c_symbol
0x005c3390,swig_TGBufferStream_OpenBuffer,swig,TGBufferStream,,OpenBuffer,direct,TGStream,c_symbol
0x005c3410,swig_TGBufferStream_CloseBuffer,swig,TGBufferStream,,CloseBuffer,direct,TGStream,c_symbol
0x005c3480,swig_TGBufferStream_GetPos,swig,TGBufferStream,,GetPos,direct,TGStream,c_symbol
0x005c34f0,swig_TGBufferStream_GetLength,swig,TGBufferStream,,GetLength,direct,TGStream,c_symbol
0x005c3560,swig_TGBufferStream_Eof,swig,TGBufferStream,,Eof,direct,TGStream,c_symbol
